Epoch time,Latitude,Longitude,Radiation (cps)
1682718132.8050604,0,0,62.0
1682718138.144759,0,0,64.4
1682718143.4710853,0,0,66.4
1682718148.87467,0,0,61.2
1682718154.215773,0,0,60.4
1682718159.5463877,0,0,64.4
1682718164.8662708,0,0,62.6
1682718170.2108104,0,0,54.2
1682718175.55158,0,0,58.2
1682718180.8972194,0,0,61.4
1682718186.2328305,0,0,62.0
1682718191.5917706,0,0,59.4
1682718196.9492257,0,0,60.2
1682718202.3130405,0,0,66.0
1682718207.6591928,0,0,71.8
1682718213.0178473,0,0,64.6
1682718218.3918498,0,0,58.8
1682718223.7600493,0,0,61.4
1682718229.128632,0,0,61.2
1682718234.4955971,0,0,59.2
1682718239.8704333,0,0,66.2
1682718245.2449694,0,0,61.8
1682718250.620656,0,0,60.4
1682718256.0025105,0,0,59.2
1682718261.338742,0,0,54.8
1682718266.6508286,0,0,54.8
1682718272.0122998,0,0,63.2
1682718277.4495735,0,0,61.2
1682718282.8848546,0,0,59.2
1682718288.2891088,0,0,63.4
1682718293.6880167,0,0,68.2
1682718299.0972748,0,0,62.4
1682718304.5091128,0,0,55.8
1682718309.9216251,0,0,67.4
1682718315.359908,0,0,61.4
1682718320.784721,0,0,57.6
1682718326.1975746,0,0,59.4
1682718331.615683,0,0,59.2
1682718337.0358405,0,0,61.2
1682718342.4589703,0,0,64.0
1682718347.8799083,0,0,64.8
1682718353.3082569,0,0,64.8
1682718358.7381613,0,0,59.8
1682718364.164453,0,0,62.2
1682718369.6041224,0,0,62.6
1682718375.0530598,0,0,59.0
1682718380.4874814,0,0,59.6
1682718385.9324615,0,0,53.4
1682718391.3753097,0,0,61.2
1682718396.823586,0,0,65.8
1682718402.2852983,0,0,60.4
1682718407.7281237,0,0,60.0
1682718413.1929004,0,0,66.2
1682718418.664335,0,0,60.6
1682718424.117414,0,0,61.8
1682718429.5833123,0,0,58.0
1682718435.0416512,0,0,59.2
