time,temperature,gas,humidity,pressure,altitude,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0
1677279719,17.50265625,46266,32.34638383,996.6228654,139.3611436,1,1,1
1677279720,17.36789063,46012,32.24699877,996.633803,139.2688529,1,1,1
1677279721,17.24328125,46420,32.25298066,996.6395628,139.2202527,1,1,1
1677279722,17.14679688,46626,32.26133934,996.6260776,139.3340392,1,1,1
1677279723,17.06222656,46887,32.47417948,996.813728,137.750775,1,1,1
1677279725,17.00050781,47043,32.47446174,996.7565006,138.2335944,1,1,1
1677279726,16.89640625,47740,32.56472574,996.7047817,138.6699591,1,1,1
1677279727,16.79464844,48097,32.52309358,996.6874292,138.8163707,1,1,1
1677279728,16.71574219,48097,32.67607552,996.6776906,138.8985407,0,0,0
1677279729,16.65988281,48854,32.73193761,996.6488186,139.1421533,0,0,0
1677279730,16.5784375,49344,32.87384928,996.6314165,139.2889899,0,0,0
1677279732,16.51769531,49607,32.85765618,996.6350022,139.2587341,0,1,1
1677279733,16.46027344,50141,32.9575604,996.6221072,139.3675412,0,1,1
1677279734,16.42980469,49992,33.02669964,996.6186455,139.3967513,0,1,1
1677279735,16.39503906,50262,33.08997815,996.6198557,139.3865399,1,1,1
1677279736,16.36261719,50934,33.09825319,996.6300506,139.3005155,1,1,1
1677279738,16.32941406,51090,33.14511824,996.5949321,139.5968468,1,1,1
1677279739,16.27824219,51752,33.28993223,996.5602776,139.8892718,1,1,1
1677279740,16.24191406,51752,33.4306152,996.5520902,139.9583602,1,1,1
1677279741,16.24386719,51561,33.39758651,996.5570431,139.9165656,1,1,1
1677279742,16.2409375,52074,33.4692701,996.5487677,139.9863973,0,0,0
1677279744,16.25480469,52204,33.70312346,996.5363813,140.0909203,0,0,0
1677279745,16.2596875,52433,33.7978262,996.5259179,140.1792167,0,0,0
1677279746,16.26066406,52335,33.84784903,996.5190869,140.2368615,0,0,0
1677279747,16.26671875,52302,33.87612621,996.5122717,140.294373,1,1,1
1677279748,16.25285156,52863,34.06376548,996.5246595,140.1898356,1,1,1
1677279750,16.226875,53814,34.07261341,996.5625188,139.8703592,1,1,1
1677279751,16.208125,53676,34.27119579,996.6851992,138.835186,1,1,1
1677279752,16.18742188,53608,34.28607695,996.6404783,139.2125277,1,1,1
1677279753,16.15011719,53953,34.46658197,996.9707314,136.4262741,1,2,2
1677279754,16.10382813,54338,34.72462594,996.8798811,137.1926786,1,2,2
1677279756,16.02980469,54693,34.78506281,996.7866974,137.9788258,1,2,2
1677279757,15.95675781,55052,35.08038018,996.7391208,138.38023,1,2,2
1677279758,15.8925,55674,35.24816009,996.7062124,138.6578878,1,2,2
1677279759,15.83273438,56010,35.25961544,996.6689583,138.9722207,1,2,2
1677279760,15.73878906,56122,35.24002098,996.6354739,139.2547542,2,2,2
1677279761,15.64347656,56235,35.2315142,996.6148926,139.4284179,2,2,2
1677279763,15.53859375,57078,35.22216458,996.5850498,139.6802359,2,2,2
1677279764,15.414375,57313,35.36785154,996.5634216,139.8627414,1,2,2
1677279765,15.28859375,57747,35.46306185,996.535744,140.0962983,1,2,2
1677279766,15.16105469,58392,35.51891611,996.511828,140.2981172,1,2,2
1677279767,15.02882813,59009,35.66408562,996.4935277,140.4525492,1,2,2
1677279769,14.89152344,59428,35.69667149,996.4666698,140.6792022,1,2,2
1677279770,14.74796875,59852,35.99258958,996.4681225,140.666943,1,2,2
1677279771,14.63683594,60110,36.18499811,996.4713737,140.6395058,2,3,3
1677279772,14.55792969,60413,36.29605662,996.6888055,138.8047577,2,3,3
1677279773,14.46984375,60588,36.34439714,996.6393512,139.2220378,2,3,3
1677279775,14.38390625,60897,36.06665202,996.57491,139.7657984,1,3,3
1677279776,14.28410156,61119,36.11389461,996.5125629,140.2919154,1,3,3
1677279777,14.18214844,61030,36.16095439,996.4735866,140.6208306,1,3,3
1677279778,14.08253906,61568,36.40515364,996.4401854,140.9027073,1,2,2
