Epoch time,Latitude,Longitude,Radiation (cps)
1682126496.027483,0,0,41.2
1682126501.3282568,0,0,38.8
1682126506.68273,0,0,40.2
1682126512.1259632,0,0,46.6
1682126517.4311543,0,0,30.6
1682126522.7509527,0,0,40.2
1682126528.086143,0,0,36.0
1682126533.3977637,0,0,33.4
1682126538.7286296,0,0,38.8
1682126544.0598187,0,0,33.8
1682126549.3804698,0,0,30.2
1682126554.7463222,0,0,34.6
1682126560.0701578,0,0,32.4
1682126565.4048233,0,0,26.2
1682126570.7523217,0,0,31.8
1682126576.0997367,0,0,30.2
1682126581.468853,0,0,26.6
1682126586.8248959,0,0,29.2
1682126592.2056887,0,0,31.4
1682126597.5778515,0,0,31.4
1682126602.9856188,0,0,34.8
1682126608.4460762,0,0,39.0
1682126613.9801016,0,0,34.6
1682126619.5498528,0,0,32.6
1682126624.9978826,0,0,32.6
1682126630.3919725,0,0,38.0
1682126635.7980711,0,0,44.4
1682126641.1808035,0,0,41.2
1682126646.594467,0,0,48.2
1682126652.0270221,0,0,49.8
1682126657.5133443,0,0,54.4
1682126662.9389493,0,0,54.2
1682126668.3675063,0,0,46.8
1682126673.7806897,0,0,47.8
1682126679.203923,0,0,46.6
1682126684.632871,0,0,45.6
1682126690.0475018,0,0,45.8
1682126695.4571116,0,0,45.6
1682126700.9052525,0,0,52.6
1682126706.3528552,0,0,48.2
1682126711.7889245,0,0,46.4
1682126717.2403278,0,0,49.8
1682126722.7047362,0,0,48.6
1682126728.1759796,0,0,53.4
1682126733.6506274,0,0,43.0
1682126739.1168134,0,0,46.4
1682126744.5677745,0,0,41.8
1682126750.045793,0,0,45.8
1682126755.5153587,0,0,47.0
1682126761.0252082,0,0,49.0
1682126766.520192,0,0,52.0
1682126772.0448918,0,0,52.8
1682126777.5403807,0,0,52.0
1682126783.0355062,0,0,46.2
1682126788.5259209,0,0,47.2
1682126794.0377893,0,0,45.6
1682126799.552433,0,0,47.2
1682126805.058508,0,0,55.4
1682126810.604021,0,0,49.0
1682126816.124634,0,0,52.4
1682126821.654015,0,0,48.4
1682126827.2094219,0,0,48.2
1682126832.7949975,0,0,51.6
1682126838.337102,0,0,49.8
1682126843.8799078,0,0,47.6
1682126849.4254253,0,0,46.6
1682126854.967363,0,0,51.2
1682126860.5650923,0,0,45.0
1682126866.1293054,0,0,48.0
1682126871.675992,0,0,43.2
1682126877.2480912,0,0,44.4
1682126882.8230722,0,0,47.8
1682126888.3906915,0,0,47.8
1682126894.0297556,0,0,49.4
1682126899.6190276,0,0,49.8
1682126905.204373,0,0,50.0
1682126910.8160455,0,0,52.4
1682126916.3978226,0,0,50.0
1682126921.9725776,0,0,45.4
1682126927.5524497,0,0,48.6
1682126933.1981668,0,0,45.6
1682126938.8030136,0,0,49.0
1682126944.4244795,0,0,52.2
1682126950.0742443,0,0,48.8
1682126955.6969826,0,0,52.2
1682126961.3097656,0,0,47.4
1682126966.9779315,0,0,48.2
1682126972.640644,0,0,49.4
1682126978.2775187,0,0,51.0
1682126983.9301178,0,0,49.0
