Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Humidity (%),Pressure (Pa),Radiation (cps),Temperature (C)
1682119485.0418327,37.870085,-122.25724,4.5,0,0,0,0
1682119492.1819854,37.870095,-122.25722,5.0,0,0,0,0
1682119499.1932435,37.870096,-122.257205,5.0,0,0,0,0
1682119506.3094642,37.870088,-122.257193,5.0,0,0,0,0
1682119513.8065896,37.870086,-122.257195,4.0,0,0,0,0
1682119520.9454129,37.870088,-122.257198,4.0,0,0,0,0
1682119528.1423204,37.870081,-122.257224,4.0,0,0,0,0
1682119535.3819392,37.870078,-122.257228,4.5,0,0,0,0
1682119542.5681832,37.870076,-122.257251,4.0,0,0,0,0
1682119549.844336,37.870078,-122.257285,4.0,0,0,0,0
1682119557.0580723,37.870078,-122.257309,5.0,0,0,0,0
1682119564.504857,37.870061,-122.257321,5.0,0,0,0,0
1682119571.8362148,37.870025,-122.25727,5.0,0,0,0,0
1682119579.1481333,37.86998,-122.257238,5.5,0,0,0,0
1682119586.3870547,37.869911,-122.257198,6.0,0,0,0,0
1682119593.8133047,37.869888,-122.25726,6.0,0,0,0,0
1682119601.1776433,37.869873,-122.257303,6.0,0,0,0,0
1682119608.885136,37.869931,-122.257461,6.5,0,0,0,0
1682119616.386475,37.869936,-122.257446,6.0,0,0,0,0
1682119624.044773,37.86998,-122.257443,6.0,0,0,0,0
1682119631.4596775,37.86998,-122.257443,7.0,0,0,0,0
1682119638.9784236,37.86998,-122.257443,6.0,0,0,0,0
1682119646.4176826,37.86998,-122.257443,6.0,0,0,0,0
1682119654.3512063,37.86998,-122.257443,6.0,0,0,0,0
1682119661.948441,37.86998,-122.257443,6.0,0,0,0,0
1682119669.6699615,37.86998,-122.257443,5.5,0,0,0,0
1682119677.284252,37.86998,-122.257443,6.0,0,0,0,0
1682119684.848094,37.86998,-122.257443,5.5,0,0,0,0
1682119692.7352972,37.86998,-122.257443,5.0,0,0,0,0
1682119700.5572538,37.86998,-122.257443,5.0,0,0,0,0
1682119708.2347343,37.86998,-122.257443,4.5,0,0,0,0
1682119716.0163517,37.86998,-122.257443,3.0,0,0,0,0
1682119723.797518,37.86998,-122.257443,4.0,0,0,0,0
1682119731.6284387,37.86998,-122.257443,4.0,0,0,0,0
1682119739.61559,37.86998,-122.257443,4.0,0,0,0,0
1682119747.4922214,37.86998,-122.257443,4.0,0,0,0,0
1682119755.4121149,37.86998,-122.257443,3.0,0,0,0,0
1682119763.5406125,37.86998,-122.257443,3.0,0,0,0,0
1682119771.402806,37.86998,-122.257443,2.5,0,0,0,0
1682119779.5654001,37.86998,-122.257443,2.0,0,0,0,0
1682119787.5124826,37.86998,-122.257443,2.5,0,0,0,0
1682119795.40686,37.86998,-122.257443,3.0,0,0,0,0
1682119803.4267771,37.86998,-122.257443,2.0,0,0,0,0
1682119811.472652,37.86998,-122.257443,2.0,0,0,0,0
1682119819.6719213,37.86998,-122.257443,1.5,0,0,0,0
1682119827.6868277,37.86998,-122.257443,2.0,0,0,0,0
1682119835.7137687,37.86998,-122.257443,2.0,0,0,0,0
1682119843.597827,37.86998,-122.257443,2.0,0,0,0,0
1682119851.674906,37.86998,-122.257443,2.0,0,0,0,0
1682119860.4852152,37.86998,-122.257443,2.0,0,0,0,0
1682119868.4928637,37.86998,-122.257443,2.0,0,0,0,0
1682119876.5513964,37.86998,-122.257443,2.0,0,0,0,0
1682119884.6076558,37.86998,-122.257443,3.0,0,0,0,0
1682119892.9241772,37.86998,-122.257443,3.0,0,0,0,0
1682119901.2892585,37.86998,-122.257443,3.0,0,0,0,0
1682119909.4456556,37.86998,-122.257443,3.0,0,0,0,0
1682119917.7462337,37.86998,-122.257443,4.0,0,0,0,0
1682119925.8784955,37.86998,-122.257443,3.0,0,0,0,0
1682119934.2950835,37.86998,-122.257443,3.0,0,0,0,0
1682119942.6624582,37.86998,-122.257443,4.0,0,0,0,0
1682119950.9757397,37.86998,-122.257443,4.0,0,0,0,0
1682119959.514848,37.86998,-122.257443,4.0,0,0,0,0
1682119968.1344972,37.86998,-122.257443,4.0,0,0,0,0
1682119976.380092,37.86998,-122.257443,5.0,0,0,0,0
1682119984.7325654,37.86998,-122.257443,5.0,0,0,0,0
1682119993.0041916,37.86998,-122.257443,5.0,0,0,0,0
1682120001.518722,37.86998,-122.257443,5.0,0,0,0,0
1682120009.95561,37.86998,-122.257443,5.0,0,0,0,0
1682120018.3873103,37.86998,-122.257443,4.0,0,0,0,0
1682120026.9573572,37.86998,-122.257443,4.0,0,0,0,0
1682120035.8020647,37.86998,-122.257443,4.0,0,0,0,0
